CEP;NUMERO;COMPLEMENTO;QTDE
64000010;110;;1
64000010;157;;1
64000010;180;;1
64000010;223;;1
64000010;42;;1
64000010;430;;1
64000010;430;;1
64000010;442;;1
64000010;444;;1
64000010;446;;1
64000010;520;LJ A;1
64000010;520;LJ B;1
64000010;522;;1
64000010;677;;1
64000010;80;;1
64000010;82;;1
64000010;900;;1
64000020;101;;1
64000020;1623;;1
64000020;1623;LJ 1;1
64000020;1623;LJ 2;1
64000020;1709;;23
64000020;1719;LJ 1;1
64000020;1719;LJ 2;1
64000020;1719;LJ 3;1
64000020;1719;LJ 4;1
64000020;1719;LJ 5;1
64000020;1793;;1
64000020;1853;;1
64000020;1867;;1
64000020;1887;;1
64000020;1909;;1
64000020;1929;;6
64000020;1967;;1
64000020;1989;;1
64000020;2011;;1
64000020;2045;;1
64000020;2053;;1
64000020;2077;;1
64000020;2095;;1
64000020;2121;;1
64000020;2155;;1
64000020;2165;;1
64000020;2187;;1
64000020;2235;;1
64000020;2261;;1
64000020;2277;;1
64000020;2315;;1
64000020;2325;;1
64000020;2357;;1
64000020;2401;;1
64000020;2425;;1
64000020;2439;;1
64000020;2461;;1
64000030;1011;;1
64000030;1013;;1
64000030;1025;;1
64000030;1027;;1
64000030;1031;;1
64000030;1035;;2
64000030;1037;;1
64000030;1073;;1
64000030;1081;;1
64000030;1085;;1
64000030;1093;;1
64000030;1099;;1
64000030;1099;;1
64000030;1103;;1
64000030;1109;;1
64000030;113;;1
64000030;1239;;1
64000030;1239;;1
64000030;1243;;1
64000030;1249;;1
64000030;1251;;1
64000030;1257;;1
64000030;1266;;1
64000030;1269;;1
64000030;1273;;1
64000030;1283;;1
64000030;1287;;1
64000030;1291;;1
64000030;23;;1
64000030;23;LJ 1;1
64000030;33;;1
64000030;381;LJ A;1
64000030;381;LJ B;1
64000030;385;;1
64000030;387;;1
64000030;389;;1
64000030;391;;1
64000030;393;;1
64000030;405;;1
64000030;407;;1
64000030;417;;1
64000030;417;LE A;1
64000030;421;;1
64000030;43;;1
64000030;431;;1
64000030;437;;1
64000030;441;;1
64000030;453;;1
64000030;464;;1
64000030;471;;1
64000030;476;;1
64000030;489;;1
64000030;490;;1
64000030;501;;1
64000030;509;;1
64000030;510;;1
64000030;524;;1
64000030;525;;1
64000030;534;;1
64000030;547;;1
64000030;550;;1
64000030;557;;1
64000030;602;;1
64000030;606;;1
64000030;607;;1
64000030;622;;1
64000030;626;;1
64000030;638;;1
64000030;661;;1
64000030;678;;1
64000030;687;;1
64000030;692;;1
64000030;698;;1
64000030;702;;1
64000030;705;;1
64000030;711;;1
64000030;712;;1
64000030;716;;1
64000030;719;;1
64000030;723;;1
64000030;724;;1
64000030;730;;1
64000030;734;;1
64000030;735;;1
64000030;748;;1
64000030;752;;1
64000030;758;;1
64000030;768;;1
64000030;769;;1
64000030;777;;1
64000030;778;;1
64000030;787;;1
64000030;788;;1
64000030;795;;1
64000030;797;;1
64000030;797;CA 1;1
64000030;800;;1
64000030;804;;1
64000030;807;;1
64000030;808;;1
64000030;811;;2
64000030;817;;1
64000030;820;;1
64000030;827;;1
64000030;865;;1
64000030;875;;1
64000030;885;;1
64000030;900;;1
64000030;901;;1
64000030;904;;1
64000030;906;;1
64000030;912;;1
64000030;921;;1
64000030;925;;1
64000030;925;CA 1;1
64000030;933;;1
64000030;961;;1
64000030;971;;1
64000030;972;;1
64000030;989;;1
64000030;999;;1
64000050;383;;1
64000050;387;LJ 11;1
64000050;391;LJ 12;1
64000050;392;;1
64000050;393;LJ 13;1
64000050;396;;1
64000050;399;LJ 14;1
64000050;40;;1
64000050;402;;1
64000050;403;LJ 15;1
64000050;407;LJ 16;1
64000050;411;LJ 17;1
64000050;412;;1
64000050;415;BX 6;1
64000050;416;;1
64000050;420;;1
64000050;422;;1
64000050;428;;1
64000050;429;BX 5;1
64000050;435;BX 1;1
64000050;435;BX 2;1
64000050;435;BX 3;1
64000050;435;BX 4;1
64000050;438;;1
64000050;468;;1
64000050;479;;1
64000050;483;;1
64000050;487;;1
64000050;489;;1
64000050;489;LJ 1;1
64000050;494;;1
64000050;495;;1
64000050;498;;1
64000050;499;;1
64000050;50;;1
64000050;510;;1
64000050;513;;1
64000050;515;;1
64000050;516;;1
64000050;519;;1
64000050;520;;1
64000050;53;;1
64000050;535;;1
64000050;541;;1
64000050;541;LJ 1;1
64000050;547;;1
64000050;561;;1
64000050;563;;1
64000050;58;;1
64000050;581;LJ 1;1
64000050;587;;1
64000050;587;LE A;1
64000050;589;;3
64000050;591;;1
64000050;61;;1
64000050;611;CA 1;1
64000050;611;CA 2;1
64000050;617;;1
64000050;627;;1
64000050;634;;3
64000050;635;BL B;1
64000050;637;;1
64000050;639;;1
64000050;65;;1
64000050;651;;1
64000050;656;;1
64000050;658;;1
64000050;659;;1
64000050;693;;1
64000050;705;;1
64000050;71;;1
64000050;713;;1
64000050;719;;1
64000050;723;;1
64000050;726;;1
64000050;730;;1
64000050;732;;1
64000050;734;;1
64000050;738;LE N;6
64000050;746;;1
64000050;747;;1
64000050;750;;1
64000050;753;;1
64000050;757;;1
64000050;760;;1
64000050;765;;1
64000050;769;;1
64000050;770;;1
64000050;777;;1
64000050;782;;1
64000050;786;;1
64000050;790;;1
64000050;791;;1
64000050;797;;1
64000050;798;;1
64000050;801;;1
64000050;805;;1
64000050;806;;1
64000050;81;;1
64000050;810;;1
64000050;820;;1
64000050;825;;1
64000050;83;;1
64000050;830;;1
64000050;837;;1
64000050;876;;1
64000050;878;;1
64000050;882;;1
64000050;887;;1
64000050;888;;1
64000050;894;;1
64000050;897;;1
64000050;911;;1
64000050;919;;1
64000050;929;;1
64000060;1008;;1
64000060;1011;;1
64000060;1031;;1
64000060;1042;;1
64000060;1051;;1
64000060;1061;;1
64000060;1067;;1
64000060;1070;;1
64000060;1089;;1
64000060;1098;;1
64000060;1101;;1
64000060;1121;;1
64000060;1127;;1
64000060;1133;;1
64000060;1135;;1
64000060;1136;;1
64000060;1140;;1
64000060;1147;;1
64000060;1151;;1
64000060;1173;;1
64000060;1193;;1
64000060;120;;1
64000060;1200;;1
64000060;1200;;1
64000060;1218;;1
64000060;1226;;1
64000060;1232;;1
64000060;1237;;1
64000060;1253;;1
64000060;1271;;1
64000060;1271;;1
64000060;1310;;1
64000060;1322;;1
64000060;1348;;1
64000060;135;;1
64000060;1355;;1
64000060;1356;;1
64000060;1356;;1
64000060;1357;;1
64000060;1373;;1
64000060;1374;;1
64000060;1377;;1
64000060;1393;;1
64000060;1426;;1
64000060;1431;;1
64000060;1436;;1
64000060;1450;;1
64000060;1455;;1
64000060;1464;;1
64000060;1469;;1
64000060;1474;;1
64000060;1481;;1
64000060;1485;;1
64000060;1486;;1
64000060;1519;;1
64000060;1531;;1
64000060;1548;;1
64000060;1557;;1
64000060;1567;;1
64000060;1597;;1
64000060;1680;;1
64000060;1832;;1
64000060;1849;;1
64000060;1863;;1
64000060;1885;;1
64000060;1892;;1
64000060;1904;;1
64000060;1915;;1
64000060;1915;CA 1;1
64000060;1947;;1
64000060;1961;;1
64000060;1988;;1
64000060;2003;;1
64000060;2003;LJ 1;1
64000060;2003;LJ 2;1
64000060;2003;LJ 3;1
64000060;2021;;1
64000060;2045;;1
64000060;2048;;1
64000060;2063;;1
64000060;2068;;1
64000060;2075;;1
64000060;2090;;1
64000060;2091;;1
64000060;2120;;1
64000060;2121;;1
64000060;2128;;1
64000060;2131;;1
64000060;2148;;1
64000060;2151;;1
64000060;2163;;1
64000060;2256;;1
64000060;2265;;1
64000060;2273;;1
64000060;2279;;1
64000060;2280;;1
64000060;2287;;1
64000060;2301;;1
64000060;2301;;1
64000060;2315;;1
64000060;2345;;1
64000060;2346;;1
64000060;2419;;1
64000060;2421;;1
64000060;2447;;1
64000060;2448;;1
64000060;2526;;1
64000060;72;;4
64000060;768;;1
64000060;772;;1
64000060;804;;1
64000060;814;;1
64000060;822;;1
64000060;823;;1
64000060;826;;1
64000060;827;;1
64000060;846;;1
64000060;860;;1
64000060;861;;1
64000060;884;;1
64000060;894;;1
64000060;906;;1
64000060;906;LJ 2;1
64000060;937;;1
64000060;948;;1
64000060;965;;1
64000060;972;;1
64000060;982;;1
64000060;986;;1
64000060;991;;1
64000060;992;;1
64000070;121;;1
64000070;146;;1
64000070;150;;1
64000070;165;;1
64000070;166;;1
64000070;29;;1
64000070;389;;1
64000070;39;;1
