CEP;NUMERO;COMPLEMENTO;QTDE
64000010;630;MARANHAO ;5
64000010;420;MARANHAO ;8
64000010;522;MARANHAO ;8
64000010;444;MARANHAO ;8
64000010;780;MARANHAO ;1
64000010;300;MARANHAO ;6
64000010;500;MARANHAO ;6
64000010;406;MARANHAO ;8
64000010;524;MARANHAO ;8
64000010;900;MARANHAO ;1
64000010;526;MARANHAO ;8
64000010;442;MARANHAO ;8
64000010;520;MARANHAO ;8
64000010;446;MARANHAO ;8
64000010;430;MARANHAO ;8
64000020;2803;SERAFIM;0
64000020;2793;SERAFIM;0
64000020;2833;SERAFIM;0
64000020;2461;SERAFIM;1
64000020;2501;SERAFIM;1
64000030;949;JOAO CABRAL ;8
64000030;SN9;JOAO CABRAL ;3
64000030;509;JOAO CABRAL ;5
64000030;758;JOAO CABRAL ;2
64000030;752;JOAO CABRAL ;2
64000030;927;JOAO CABRAL ;8
64000030;901;JOAO CABRAL ;8
64000030;385;JOAO CABRAL ;4
64000030;904;JOAO CABRAL ;8
64000030;391;JOAO CABRAL ;4
64000030;808;JOAO CABRAL ;2
64000030;811;JOAO CABRAL ;2
64000030;724;JOAO CABRAL ;1
64000030;393;JOAO CABRAL ;4
64000030;1037;JOAO CABRAL ;2
64000030;534;JOAO CABRAL ;5
64000030;476;JOAO CABRAL ;2
64000030;1031;JOAO CABRAL ;2
64000030;441;JOAO CABRAL ;2
64000030;1085;JOAO CABRAL ;3
64000030;820;JOAO CABRAL ;2
64000030;379;JOAO CABRAL ;4
64000030;906;JOAO CABRAL ;8
64000030;453;JOAO CABRAL ;2
64000030;925;JOAO CABRAL ;8
64000030;1109;JOAO CABRAL ;2
64000030;705;JOAO CABRAL ;1
64000030;1027;JOAO CABRAL ;2
64000030;748;JOAO CABRAL ;2
64000030;SN48;JOAO CABRAL ;5
64000030;389;JOAO CABRAL ;4
64000030;387;JOAO CABRAL ;4
64000030;622;JOAO CABRAL ;5
64000030;557;JOAO CABRAL ;5
64000030;43;JOAO CABRAL ;6
64000030;23;JOAO CABRAL ;6
64000030;694;JOAO CABRAL ;1
64000030;999;JOAO CABRAL ;2
64000030;1081;JOAO CABRAL ;3
64000030;778;JOAO CABRAL ;2
64000030;113;JOAO CABRAL ;6
64000030;912;JOAO CABRAL ;8
64000030;381;JOAO CABRAL ;4
64000030;681;JOAO CABRAL ;1
64000030;806;JOAO CABRAL ;2
64000030;807;JOAO CABRAL ;2
64000030;712;JOAO CABRAL ;1
64000030;607;JOAO CABRAL ;5
64000030;666;JOAO CABRAL ;1
64000030;417;JOAO CABRAL ;2
64000030;734;JOAO CABRAL ;2
64000030;719;JOAO CABRAL ;2
64000030;29;JOAO CABRAL ;6
64000030;866;JOAO CABRAL ;2
64000030;730;JOAO CABRAL ;2
64000030;383;JOAO CABRAL ;4
64000030;961;JOAO CABRAL ;1
64000030;716;JOAO CABRAL ;1
64000030;525;JOAO CABRAL ;5
64000030;788;JOAO CABRAL ;2
64000030;1073;JOAO CABRAL ;3
64000030;998;JOAO CABRAL ;2
64000030;738;JOAO CABRAL ;3
64000030;437;JOAO CABRAL ;2
64000030;501;JOAO CABRAL ;2
64000030;421;JOAO CABRAL ;2
64000030;702;JOAO CABRAL ;1
64000030;797;JOAO CABRAL ;2
64000030;865;JOAO CABRAL ;2
64000030;800;JOAO CABRAL ;2
64000030;817;JOAO CABRAL ;2
64000030;638;JOAO CABRAL ;5
64000030;518;JOAO CABRAL ;5
64000030;471;JOAO CABRAL ;2
64000030;989;JOAO CABRAL ;2
64000030;795;JOAO CABRAL ;2
64000030;981;JOAO CABRAL ;2
64000030;768;JOAO CABRAL ;2
64000030;678;JOAO CABRAL ;1
64000030;SN61;JOAO CABRAL ;5
64000030;777;JOAO CABRAL ;2
64000030;541;JOAO CABRAL ;5
64000030;650;JOAO CABRAL ;1
64000030;1013;JOAO CABRAL ;2
64000030;SN25;JOAO CABRAL ;2
64000030;1099;JOAO CABRAL ;2
64000030;687;JOAO CABRAL ;1
64000030;407;JOAO CABRAL ;2
64000030;431;JOAO CABRAL ;2
64000030;550;JOAO CABRAL ;5
64000030;102;JOAO CABRAL ;1
64000030;489;JOAO CABRAL ;2
64000030;692;JOAO CABRAL ;1
64000030;909;JOAO CABRAL ;8
64000030;522;JOAO CABRAL ;5
