CEP;Cidade;Bairro;Logradouro;Local;Inicio;Fim;Lado
64000010;Teresina;Centro;Avenida Maranhão;;0;1022;ambos
64000020;Teresina;Centro;Avenida Frei Serafim;;0;99999;ímpar
64000030;Teresina;Centro;Rua João Cabral;;0;1294;ambos
64000040;Teresina;Centro;Praça da Liberdade;;0;99999;ambos
64000050;Teresina;Centro;Rua Riachuelo;;0;1000;ambos
64000060;Teresina;Centro;Rua Álvaro Mendes;;0;99999;ambos
64000070;Teresina;Centro;Rua Firmino Pires;;0;99999;ambos
64000080;Teresina;Centro;Rua Coelho Rodrigues;;0;99999;ambos
64000090;Teresina;Centro;Rua Rui Barbosa;;0;99999;ambos
64000100;Teresina;Centro;Praça Demóstenes Avelino;;0;99999;ambos
64000110;Teresina;Centro;Rua Simplício Mendes;;0;99999;ambos
64000120;Teresina;Centro;Rua Eliseu Martins;;0;99999;ambos
64000128;Teresina;Centro;Rua Magalhães Filho;;1;800;ambos
64000130;Teresina;Centro;Rua Barroso;;0;99999;ambos
64000140;Teresina;Centro;Praça Rio Branco;;0;99999;ambos
64000150;Teresina;Centro;Rua Treze de Maio;;0;99999;ambos
64000160;Teresina;Centro;Praça Marechal Deodoro;;0;99999;ambos
64000170;Teresina;Centro;Praça João Luís Ferreira;;0;99999;ambos
64000180;Teresina;Centro;Rua Areolino de Abreu;;0;99999;ambos
64000190;Teresina;Centro;Rua David Caldas;;0;99999;ambos
64000200;Teresina;Centro;Rua Lisandro Nogueira;;0;99999;ambos
64000210;Teresina;Centro;Rua Sete de Setembro;;0;99999;ambos
64000220;Teresina;Centro;Praça Landri Sales;;0;99999;ambos
64000235;Teresina;Centro;Rua Vinte Quatro de Janeiro;;0;99999;ambos
64000240;Teresina;Centro;Rua Desembargador Freitas;;0;99999;ambos
64000250;Teresina;Centro;Rua Gabriel Ferreira;;0;99999;ambos
64000270;Teresina;Centro;Rua Quintino Bocaiúva;;0;99999;ambos
64000280;Teresina;Centro;Rua Benjamin Constant;;0;99999;ambos
64000290;Teresina;Centro;Rua Arlindo Nogueira;;0;99999;ambos
64000300;Teresina;Centro;Avenida Campos Sales;;0;99999;ambos
64000310;Teresina;Centro;Rua Doutor Area Leão;;0;99999;ambos
64000320;Teresina;Centro;Rua Alvorada;;0;99999;ambos
64000330;Teresina;Centro;Rua Anísio de Abreu;;0;99999;ambos
64000340;Teresina;Centro;Praça João Gayoso;;0;99999;ambos
64000360;Teresina;Centro;Rua Clodoaldo Freitas;;0;99999;ambos
64000362;Teresina;Centro;Rua Coronel Antonio Soares Filho;;0;99999;ambos
64000370;Teresina;Centro;Rua Coelho de Resende;;0;99999;ambos
64000380;Teresina;Centro;Rua Tiradentes;;0;99999;ambos
64000390;Teresina;Centro;Rua Desembargador Pires de Castro;;0;99999;ambos
64000400;Teresina;Centro;Rua Jonatas Batista;;0;99999;ambos
64000410;Teresina;Centro;Praça Floriano Peixoto;;0;99999;ambos
64000420;Teresina;Centro;Praça Antonio Cristino Leite;;0;99999;ambos
64000430;Teresina;Centro;Rua Primeiro de Maio;;0;99999;ambos
64000440;Teresina;Centro;Rua Lucídio Freitas;;815;1502;ambos
64000450;Teresina;Centro;Rua Governador Raimundo Artur de Vasconcelos;;0;99999;ambos
64000460;Teresina;Centro;Rua Manoel Domingues;;853;1230;ambos
64000470;Teresina;Centro;Rua Dezenove de Novembro;;0;99999;ambos
64000480;Teresina;Centro;Avenida Miguel Rosa;;0;99999;par
64000510;Teresina;Cabral;Rua Orlando Rollo;;0;99999;ambos
64000512;Teresina;Cabral;Avenida Miguel Rosa;;2167;99999;ímpar
64000513;Teresina;Cabral;Praça do Ferroviário;;0;99999;ambos
64000515;Teresina;Cabral;Rua Josefa Lopes de Araújo;;0;99999;ambos
64000520;Teresina;Cabral;Rua Monsenhor Lopes;;0;99999;ambos
64000525;Teresina;Cabral;Rua Luiz Eugenio de Carvalho;;0;99999;ambos
64000530;Teresina;Cabral;Rua Paraíso;;0;99999;ambos
64000535;Teresina;Cabral;Rua Netinho da Flauta;;0;99999;ambos
64000540;Teresina;Cabral;Rua Osvaldo Cruz;;0;99999;ambos
64000545;Teresina;Cabral;Conjunto Jardim Teresina;;0;99999;ambos
64000550;Teresina;Cabral;Rua Professor José Amável;;0;99999;ambos
