cep;logradouro;numero;complemento;bairro
64035518;RUA BELA VISTA;3600;;BRASILAR
64035835;RUA SANTA HELENA;1115;;PARQUE JULIANA
64035835;RUA SANTA HELENA;1125;;PARQUE JULIANA
64035835;RUA SANTA HELENA;1133;;PARQUE JULIANA
64035835;RUA SANTA HELENA;1135;;PARQUE JULIANA
64035835;RUA SANTA HELENA;1138;;PARQUE JULIANA
64035835;RUA SANTA HELENA;1140;;PARQUE JULIANA
64035835;RUA SANTA HELENA;1141;;PARQUE JULIANA
64035835;RUA SANTA HELENA;1160;;PARQUE JULIANA
64035835;RUA SANTA HELENA;1166;;PARQUE JULIANA
64035835;RUA SANTA HELENA;1177;;PARQUE JULIANA
64035835;RUA SANTA HELENA;1180;;PARQUE JULIANA
64035835;RUA SANTA HELENA;1180;CA 1;PARQUE JULIANA
64035835;RUA SANTA HELENA;1240;;PARQUE JULIANA
64035835;RUA SANTA HELENA;1484;;PARQUE JULIANA
64035835;RUA SANTA HELENA;1487;;PARQUE JULIANA
64035835;RUA SANTA HELENA;1488;;PARQUE JULIANA
64035835;RUA SANTA HELENA;1492;CA A;PARQUE JULIANA
64035835;RUA SANTA HELENA;1492;CA B;PARQUE JULIANA
64035835;RUA SANTA HELENA;1523;;PARQUE JULIANA
64035835;RUA SANTA HELENA;273;;PARQUE JULIANA
64035835;RUA SANTA HELENA;275;;PARQUE JULIANA
64041690;RUA VINTE E SEIS;4810;VL BANDEIRANTE II;SATÉLITE
64041690;RUA VINTE E SEIS;4859;VL BANDEIRANTE II;SATÉLITE
64041690;RUA VINTE E SEIS;4860;VL BANDEIRANTE II;SATÉLITE
64041690;RUA VINTE E SEIS;4870;VL BANDEIRANTE II;SATÉLITE
64041690;RUA VINTE E SEIS;4875;VL BANDEIRANTE II;SATÉLITE
64041690;RUA VINTE E SEIS;4876;VL BANDEIRANTE II;SATÉLITE
64041690;RUA VINTE E SEIS;4880;VL BANDEIRANTE II;SATÉLITE
64041690;RUA VINTE E SEIS;4883;VL BANDEIRANTE II;SATÉLITE
64041690;RUA VINTE E SEIS;4891;VL BANDEIRANTE II;SATÉLITE
64041690;RUA VINTE E SEIS;4920;VL BANDEIRANTE II;SATÉLITE
64041690;RUA VINTE E SEIS;4920;VL BANDEIRANTE II;VALE QUEM TEM
64045000;AVENIDA JOAO XXIII;1004;VL BANDEIRANTE II;NOIVOS
64045000;AVENIDA JOAO XXIII;1090;VL BANDEIRANTE II;NOIVOS
64045000;AVENIDA JOAO XXIII;1102;VL BANDEIRANTE II;NOIVOS
64045000;AVENIDA JOAO XXIII;1176;VL BANDEIRANTE II;NOIVOS
