CEP;Número;Qtde NET
64049544;1050;84
64056450;1382;19
64056450;1490;16
64062150;4041;0
64048440;2615;21
64019500;914;0
64091215;8000;0
64049670;1565;3
64049110;787;39
64052450;1930;40
64003500;2286;2
64049544;2673;0
64052280;60;0
64066190;45;0
64037305;2;0
64019500;1186;3
64023293;1200;32
64056075;433;0
64053520;4957;7
64053520;4883;10
64053520;4918;5
64053520;4918;7
64053680;4882;4
64053520;4919;4
64053680;1330;3
64053680;1330;3
64053520;4835;10
64053540;4936;3
64053520;4921;7
64053520;4959;7
64053520;4958;11
64053680;1330;5
64053520;4836;3
64062230;3833;0
64052850;2933;54
64049753;4101;0
64000360;999;0
64016370;379;4
64052005;259;
64049280;1200;18
64001390;380;7
64052860;2932;57
64000470;71;0
64001330;90;4
64053290;363;
64055265;1821;
64000060;1481;2
64049790;1975;3
64014325;2145;0
64046490;510;0
64051050;2005;1
64006700;941;2
64049250;730;0
64053110;5628;1
64015310;1786;1
64000300;1685;0
64049825;1695;
64051040;2650;
64016020;1125;0
64049370;3711;1
64049370;824;1
64000020;2075;1
64049200;740;
64048400;1000;2
64049505;2275;0
64048385;2541;
64048385;259;0
64048385;383;
64048385;681;
64048385;715;14
64048385;966;
64015125;2077;5
64045380;2000;
64045380;2465;
64045380;2473;
64045000;2486;0
64045380;2700;0
64049240;1289;5
64049240;1939;1
64051110;555;
64049514;2294;0
64000200;1223;2
64046040;167;
64048495;4127;5
64052280;413;3
64019808;1551;4
64016060;2484;0
64000090;138;0
64049310;606;
64049110;1500;5
64001260;1977;4
64000750;415;0
64048380;837;
64052410;1229;16
64049526;680;2
64002466;1539;1
64052410;1480;31
64046170;357;10
64056565;3980;4
64056190;664;16
64056460;1418;14
64053080;5186;93
64056030;69;0
64052465;2019;6
64049110;1675;13
64014045;464;11
64015015;2660;2
64052902;1870;25
64000128;773;4
64048232;1515;2
64049370;755;20
64000120;2074;25
64001190;374;0
64055020;2989;11
64051040;2640;0
64062050;5305;0
64049536;1444;26
64049110;1510;0
64050080;2650;25
64016088;3094;6
64048560;4237;8
64049453;3020;4
64059230;3655;0
64062410;3700;0
64053815;1219;0
64053150;4460;7
64020100;4751;18
64053550;4855;170
64051110;2235;30
64046455;400;0
64007200;2940;96
64045100;1534;24
64052820;2184;36
64053390;420;78
64002600;2960;145
64001320;3278;13
64048340;315;15
64055060;2878;11
64049280;1235;16
64001625;3220;2
64053300;960;166
64016270;1015;122
64001280;3381;14
64067010;4560;0
64015125;383;2
64055520;5130;0
64050080;3430;35
64045500;2050;42
64049690;1955;11
64045112;1739;20
64050155;2800;21
64014050;46;9
64049140;47;62
64052480;1760;29
64064020;4095;0
64062410;3530;0
64051160;3390;17
64052475;2049;49
64056200;645;0
64048152;430;12
64067200;315;0
64049190;1565;10
64014053;1641;17
64002530;1188;67
64049522;2070;
64012530;1180;0
64069430;6302;0
64033720;3580;0
64066190;6433;0
64036740;3567;0
64067010;8001;0
64056395;1400;18
64048495;4199;
64014058;1299;0
64000240;2078;7
64001390;3638;0
64001270;997;
64045390;2300;3
64000430;575;0
64049420;1620;33
64051270;3110;0
64016070;3400;43
64045120;1765;8
64045785;170;0
64063100;3700;0
64062190;3930;0
64049110;1160;10
64064260;3200;0
64002510;2450;0
64016498;3268;2
64029200;6337;0
64049650;2251;23
64022240;4700;0
64022245;4700;0
64049300;620;15
64000810;611;50
64053300;477;55
64066190;3150;0
64001390;3800;0
64083190;2151;54
64049190;1465;0
64045000;3820;151
64048212;470;3
64049610;1197;2
64048100;821;52
64049310;822;2
64050050;3131;19
64049270;2040;12
64046150;575;15
64045112;1860;12
64062005;2680;81
64015310;1791;95
64000906;248;0
63001120;2116;0
64048330;1039;
64016070;2191;17
64058810;2170;0
64045310;1602;5
64014058;180;0
64015470;1964;124
64051120;3100;52
64049250;1645;15
64001550;115;9
64001545;3040;9
64000290;333;29
64014058;800;18
64019550;3003;9
64015015;2618;3
64000360;1060;4
64049370;1643;4
64001280;1950;2
64000700;840;1
64000090;146;23
64056030;900;9
64001160;2159;10
64049280;1390;0
64051050;2200;6
64001230;735;0
64001260;1901;4
64000180;1990;3
64018060;2663;7
64015300;799;22
64017045;2561;12
64049280;1191;16
64049524;673;20
64000430;257;
64049270;1540;14
64055370;3604;124
64053400;677;1
64053150;4270;0
64048130;569;29
64049730;949;0
64045112;1790;21
64045500;2290;53
64048385;637;1
64049453;1770;30
64007250;2050;0
64053290;505;62
64077833;1940;14
64049516;2400;16
64048360;1950;10
64091095;0;0
64001545;3300;16
64049200;919;
64077215;3315;159
64062220;3465;0
64090095;5733;0
64046640;1611;18
64073063;566;0
64016903;2139;11
64003600;2002;18
64083045;0;0
64049730;773;0
64049453;2340;61
64049453;2312;56
64052902;2033;21
64015050;3313;19
64014042;251;61
64056395;1392;70
64049480;1031;3
64055410;3996;13
64020100;4040;50
64046460;2929;23
64069430;6212;0
64017280;1760;6
64062160;3727;0
64073063;790;0
64052820;2355;19
64017040;2346;26
64046090;1065;12
64049250;1315;25
64052902;1685;36
64000580;3041;14
64049570;3377;31
64049478;2835;21
64053040;4177;61
64028300;4047;0
64057105;4209;0
64078650;405;172
64078650;475;55
64036410;5587;0
64052340;730;14
64052695;1735;21
64093020;5244;0
64014063;3426;16
64052480;1920;33
64056440;3915;30
64049110;2065;36
64046170;191;25
64049300;641;22
64048152;1567;24
64016370;580;31
64014050;613;22
64048380;1222;20
64083080;2131;0
64048485;4353;16
64049620;1866;21
64016180;1336;0
64055901;365;0
64003645;140;2
64048250;2150;2
64002410;1994;54
64003190;2310;0
64001350;381;0
64050080;3267;5
64049010;6591;0
64073710;6235;0
64048180;1557;4
64051120;2130;6
64007150;2391;0
64053040;4277;72
64055420;3625;39
64053250;451;57
64016410;940;31
64090095;5793;0
64046440;2995;3
64015310;1700;0
64076005;208;
64073505;6340;0
64056385;1732;6
64049370;4330;30
64001902;988;0
64001914;3274;26
64001260;3304;20
64056333;1620;36
64056385;1386;63
64055915;3863;40
64090116;2137;0
64053650;5501;25
64019500;914;0
64001610;1000;139
64091090;7790;0
64000070;2658;
64015460;1920;84
64053500;4997;33
64055280;3333;27
64053500;4997;19
64048380;1809;6
64007250;2388;0
64049020;1850;12
64052335;1755;0
64056520;2300;22
64046350;911;0
64014058;3411;23
64017560;2180;43
64032480;3935;0
64049220;1385;19
64083010;1945;50
